,time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,z_tpsh,gamma,eps_tp,eps_sh
mean,39998.0,217.25197648954725,351.96769413034826,0.03129650753738844,0.03129650753738844,257.88447203949096,0.7958498244682869,-1.3733798392951626,0.7671611615851646,0.513704609362659,0.14991423518712968,-0.5978882691183529
std,23093.722090646195,33.83180750990949,13.731237056513876,0.012103212042355245,0.012103212042355245,26.57084309788645,0.25217914083100146,5.679994948442048,0.22964676226162278,0.09500910481075847,0.06989796043022153,1.4763238029736871
max,79996.0,300.5940101,367.7597835,0.05,0.05,310.6886625,1.200043877,10.0,0.9999,0.989999999,0.999988615,0.842362634
min,0.0,129.142647,262.1988162,0.01,0.01,211.2159682,0.399938796,-10.0,0.168024376,7.83e-05,1.94e-05,-4.999999977
