,time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,z_tpsh,gamma,eps_tp,eps_sh
mean,49998.0,222.1725893589652,353.73588786007923,0.031333960665433314,0.031333960665433314,259.46965565038096,0.808772014591972,-0.5051373431468469,0.7314114112546451,0.5099323929906397,0.14255778895671914,-0.4410943749527791
std,28867.224782903304,33.982780111200796,12.864918572352865,0.012339048477645538,0.012339048477645538,26.53469142905718,0.2539995301745219,5.545542201788577,0.2342867405433467,0.08629597663938343,0.06925634884332303,1.361617379137131
max,99996.0,300.5940101,367.7597835,0.05,0.05,310.7890393,1.200043877,10.0,0.9999,0.989999999,0.999988615,0.842362634
min,0.0,129.142647,262.1988162,0.01,0.01,211.2159682,0.399938796,-10.0,0.168024376,7.83e-05,1.94e-05,-4.999999977
