pressure,enthalpy
1.609959564208984375e+02,3.503893127441406250e+02
1.618121948242187500e+02,3.500533447265625000e+02
1.614888153076171875e+02,3.506763305664062500e+02
1.618836212158203125e+02,3.509233703613281250e+02
1.619141693115234375e+02,3.509743957519531250e+02
1.683141021728515625e+02,3.526198120117187500e+02
1.718100585937500000e+02,3.525435180664062500e+02
1.708740997314453125e+02,3.531291503906250000e+02
1.707555847167968750e+02,3.533648071289062500e+02
1.705614624023437500e+02,3.527973937988281250e+02
1.729537506103515625e+02,3.533327026367187500e+02
1.777073974609375000e+02,3.543449707031250000e+02
1.745809631347656250e+02,3.532534179687500000e+02
1.738752441406250000e+02,3.529176635742187500e+02
1.739663543701171875e+02,3.528395385742187500e+02
1.652313690185546875e+02,3.508758850097656250e+02
1.656238403320312500e+02,3.475875854492187500e+02
1.649309387207031250e+02,3.471064453125000000e+02
1.653694763183593750e+02,3.465453491210937500e+02
1.655389404296875000e+02,3.462081909179687500e+02
1.584432983398437500e+02,3.415011596679687500e+02
1.639022521972656250e+02,3.437446289062500000e+02
1.628284301757812500e+02,3.428284301757812500e+02
1.630005493164062500e+02,3.430243530273437500e+02
1.631185607910156250e+02,3.432479553222656250e+02
1.660572509765625000e+02,3.459585571289062500e+02
1.685411376953125000e+02,3.517226867675781250e+02
1.683564910888671875e+02,3.518489379882812500e+02
1.684577331542968750e+02,3.521488647460937500e+02
1.683029632568359375e+02,3.519015197753906250e+02
1.642443237304687500e+02,3.501445007324218750e+02
1.624071807861328125e+02,3.464754028320312500e+02
1.638457031250000000e+02,3.477741394042968750e+02
1.652747192382812500e+02,3.479431152343750000e+02
1.651601409912109375e+02,3.478307189941406250e+02
1.661021728515625000e+02,3.488445739746093750e+02
1.708695678710937500e+02,3.520287780761718750e+02
1.690953521728515625e+02,3.518173217773437500e+02
1.681635742187500000e+02,3.517564086914062500e+02
1.683011474609375000e+02,3.517011108398437500e+02
1.685624084472656250e+02,3.516901245117187500e+02
1.686957397460937500e+02,3.516246337890625000e+02
1.681399993896484375e+02,3.514299926757812500e+02
1.680188751220703125e+02,3.513544921875000000e+02
1.680163879394531250e+02,3.512830200195312500e+02
1.676709899902343750e+02,3.510111694335937500e+02
1.628810882568359375e+02,3.445253295898437500e+02
1.648380279541015625e+02,3.461479797363281250e+02
1.644951324462890625e+02,3.453210754394531250e+02
1.644268798828125000e+02,3.450674743652343750e+02
1.679358520507812500e+02,3.469728088378906250e+02
1.635342254638671875e+02,3.438713073730468750e+02
1.651311035156250000e+02,3.451426696777343750e+02
1.649257354736328125e+02,3.450337524414062500e+02
1.648883361816406250e+02,3.450046997070312500e+02
1.684533843994140625e+02,3.465962219238281250e+02
1.626437530517578125e+02,3.418268127441406250e+02
1.648061676025390625e+02,3.434436340332031250e+02
1.647299194335937500e+02,3.432360839843750000e+02
1.646562805175781250e+02,3.431358642578125000e+02
