Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
52,151.327501362041,342.138347124106,0.0279067489409737,0.0279067489409737,213.486710273646,0.426460086703324,-7.26395335023264,-19.9248805185929,-19.9432213062095,-9.56397597914561,1,0.495492720089527,0.217701219262146,-0.450134758352449,6.64825197836649e-07,0
54,151.1646958963,342.657390743881,0.0279067489409737,0.0279067489409737,213.486971058084,0.426440176182064,-7.26395335024078,-19.9512443803707,-19.9695851608339,-9.67439775932644,1,0.497010559020055,0.218438498537733,-0.453111842335507,7.84585246457663e-07,2
56,151.104274929331,342.600063244284,0.0279067489409737,0.0279067489409737,213.484331274679,0.4264332421101,-7.26395335024668,-19.9610286332002,-19.9793694132546,-9.75461340766302,1,0.496698037197983,0.218660516239775,-0.457316145030283,4.96923235696291e-06,0
58,151.076995257914,342.530464034329,0.0279067489409737,0.0279067489409737,213.482661755382,0.426430042035307,-7.26395335025082,-19.9654461591528,-19.9837869394392,-9.8112771801264,1,0.497083338510522,0.218738107576866,-0.456626044371615,1.20765946769782e-05,0
60,151.060753707064,342.53839060389,0.0258766977240525,0.0258766977240525,212.856591021744,0.394067270787117,-7.34389476782801,-19.9693373545629,-19.9851558861456,-9.85550357759151,1,0.496861471214069,0.181631004216982,-0.666775549618673,1.9365783245243e-06,0
62,148.003714066306,338.720558216546,0.024861672115592,0.024861672115592,212.386956023071,0.329363959002008,-7.38386547675212,-20.4812949007766,-20.4963617683684,-9.97352402949632,1,0.49697284660684,0.240637448098139,-0.713158940175212,1.50227806181539e-06,2
64,147.783156032811,337.978081495874,0.024861672115592,0.024861672115592,212.369338074787,0.329355690475619,-7.38386547676396,-20.5182608213187,-20.5333276927956,-10.0696675620395,1,0.496036599118935,0.242068827147463,-0.727992823897407,4.46094071378327e-06,0
66,147.708220147762,337.729450258564,0.024861672115592,0.024861672115592,212.363402791056,0.329351454231284,-7.38386547677325,-20.5308202095985,-20.5458870823193,-10.1449584216794,1,0.495654643173643,0.242414158050292,-0.733633008397233,1.77069516527658e-07,0
68,147.676046069908,337.634090863144,0.024861672115592,0.024861672115592,212.36100727098,0.329348847844147,-7.3838654767805,-20.5362126426158,-20.551279515753,-10.2036868462166,1,0.495177967207549,0.242514892486652,-0.736969420982332,4.96411431066559e-07,2
70,147.658541020805,337.577775132487,0.02528545653937,0.02528545653937,212.436404059809,0.326000949865058,-7.37094091498965,-20.538871163563,-20.5544887501351,-10.2503510512001,1,0.779635418339706,0.189508978057849,-1.52700038177507,0.00374375399039,0
72,141.151474551311,323.738303263712,0.0284638397177055,0.0284638397177055,212.655000101591,0.27246799836118,-7.27400670170317,-21.6460633471806,-21.6665032815691,-10.3564181589122,1,0.595102431262314,0.288573257603261,-1.65477166985196,0.00202942028182444,0
74,140.807989078678,321.61149812453,0.0284638397177055,0.0284638397177055,212.622388452392,0.27246941685399,-7.27400670172082,-21.705649390907,-21.7260893427881,-10.4546336246351,1,0.494738964979561,0.290491896570842,-1.67937872726422,1.32314384946872e-06,2
76,140.749008739667,321.261039216391,0.0284638397177055,0.0284638397177055,212.616937590708,0.272468463858632,-7.27400670173552,-21.7158809883432,-21.7363209431007,-10.536416146951,1,0.495173610559943,0.290974038072286,-1.68329120838465,1.78094656012273e-06,0
78,140.733640164599,321.198922915937,0.0284638397177055,0.0284638397177055,212.615804928896,0.272466960122805,-7.27400670174744,-21.7185470476741,-21.7389870028453,-10.6028113875207,1,0.501731747959731,0.290609715921287,-1.6870335574357,0.000510088428592906,0
80,140.723398004458,321.14163336399,0.0299231919858853,0.0299231919858853,213.653027390222,0.31923684691193,-7.0791267296553,-21.7192477831484,-21.7418397794712,-10.6586300255017,1,0.495542541024594,0.350387889759747,-1.15360808627245,1.9983037037293e-08,2
82,146.824853114738,330.384966281575,0.03,0.03,213.994233511777,0.370896119606577,-7.06886988870979,-20.6754392642587,-20.6973758297719,-10.5385501043121,1,0.495414245041554,0.249612178262479,-1.06613923366617,9.89448883774251e-08,2
84,147.156543513521,331.857563343845,0.03,0.03,214.018728195446,0.370908439482198,-7.06886988870019,-20.6198473625965,-20.6417839184847,-10.440697270346,1,0.495505107573134,0.247660228598642,-1.04440775466855,1.74668764214604e-07,2
86,147.247993671005,332.230495139591,0.03,0.03,214.025176392612,0.370913716506227,-7.068869888693,-20.6045201531138,-20.6264567067322,-10.3664428817268,1,0.495237145156921,0.247217810115784,-1.03818767468033,3.83273811003209e-07,2
88,147.280239042536,332.339570127931,0.03,0.03,214.027242306503,0.370916597044905,-7.06886988868757,-20.5991157712227,-20.6210523242757,-10.3106308987546,1,0.495553794246937,0.247150435351976,-1.03166667267883,1.98176255999217e-07,2
90,147.296248610582,332.448588009071,0.0273184772127691,0.0273184772127691,216.935104185247,0.390698905352015,-6.93449958177017,-20.5982552743435,-20.616546356447,-10.2669647445927,1,0.497068598570626,0.368959420684293,-0.353805677205554,2.34802171208529e-06,0
92,159.346282653324,345.399970774334,0.0257861784772086,0.0257861784772086,219.200409638703,0.433045741992354,-6.85771654914306,-18.6366804926951,-18.6518115289849,-10.0246549420117,1,0.493464469227927,0.214739994683787,-0.244371923909432,1.07593747692826e-06,0
94,159.813718659185,347.001753440523,0.0257861784772086,0.0257861784772086,219.238447155717,0.433063733512881,-6.85771654912913,-18.5635426200682,-18.5786736480832,-9.82918289724543,1,0.494791201915249,0.211834236905002,-0.214363623322569,1.22549514869855e-08,0
96,159.930637356229,347.443023658224,0.0257861784772086,0.0257861784772086,219.248511562104,0.43307226393294,-6.8577165491191,-18.5452488116892,-18.5603798374144,-9.68838772729056,1,0.518230108823008,0.211368050476753,-0.205245475308877,0.00033657912706993,0
98,159.979186663413,347.596975478689,0.0257861784772086,0.0257861784772086,219.252298638988,0.433077585890782,-6.85771654911182,-18.537652492534,-18.5527835175717,-9.58625200528277,1,0.522814690355857,0.208728123986643,-0.196100576835499,0.0440159297692321,0
100,160.005723711129,347.661095802356,0.0259597081369184,0.0259597081369184,219.607800274999,0.430194406923645,-6.85903969152193,-18.533394263301,-18.5487374514523,-9.50915307176595,1,0.494292361665419,0.190189886622967,-0.918981197184853,7.42716723035348e-08,2
