Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
12228,161.021027643161,352.279456626674,0.0283646471752968,0.0283646471752968,211.737833989303,0.431807841161437,-3.40028220756607,-18.3730514554466,-17.0562624106054,-6.45460752574367,0.867470957523822,0.496973917383034,0.192429166920234,0.0990700610252895,1.65728497122098e-10,2
12230,161.032196340053,352.270658697588,0.0287944212722366,0.0287944212722366,218.098127229782,0.412200539337255,-3.04450952912766,-18.3710241971094,-17.0662258602591,-6.41192279874186,0.867333367669207,0.38258376591162,0.243909072157601,0.0610606573447059,5.86670055673681e-07,2
12232,166.190178372668,352.169064478116,0.0288558175717994,0.0288558175717994,219.174504703469,0.38696267272847,-2.99368486083311,-17.5711043783936,-17.0077559096553,-6.33704044091393,0.923515522911258,0.495047971785864,0.216565272835799,0.0629353914907432,3.02892678903418e-11,2
12234,166.528164044462,352.242656997613,0.0288558175717994,0.0288558175717994,219.186304343142,0.386982168841514,-2.99368486082809,-17.5200047735843,-16.9120024531162,-6.2814357623507,0.920912664896836,0.494900459917557,0.214723905776833,0.0635229427580343,3.94177463406648e-11,2
12236,166.605707917701,352.260644141157,0.0288558175717994,0.0288558175717994,219.189018639249,0.386987909967784,-2.99368486082435,-17.5082810184504,-16.8887310653664,-6.23986541633639,0.920139771998569,0.494966764591859,0.214353002153837,0.0636878544160793,3.00854493522765e-11,2
12238,166.628571918936,352.265801531548,0.0288558175717994,0.0288558175717994,219.189817064874,0.386990145588531,-2.9936848608216,-17.5048242404974,-16.8820381203744,-6.20907843061373,0.919901133581956,0.492280970259294,0.214266481711945,0.0635444363361789,3.47814012083454e-13,2
12240,166.637624478301,352.264295314718,0.0289988403753245,0.0289988403753245,219.761024503122,0.387680107872471,-2.96510686128494,-17.5033630728578,-16.8835338584584,-6.18474419210099,0.919792563266889,0.283426650590476,0.273844536496997,0.0505192633344298,9.86063752065185e-05,2
12242,171.150424495095,352.508658500455,0.03,0.03,223.911003708419,0.397988764484202,-2.76506086451895,-16.8204311842446,-16.447847545497,-6.09053281404321,0.935912005985877,0.404779666869869,0.218511179558099,0.0509556309426721,5.42358477466833e-06,2
12244,171.333210318613,352.547781221179,0.03,0.03,223.917374959075,0.398001596832973,-2.76506086451297,-16.7927960385064,-16.3956919578574,-6.01968903216416,0.93412314748598,0.440389831975958,0.217424540205831,0.0513396075821532,1.62698884142989e-06,2
12246,171.384137648905,352.558915901238,0.03,0.03,223.919151289977,0.398006240258469,-2.76506086450852,-16.7850964031374,-16.3808816601718,-5.96711842088398,0.933580681278297,0.439993168713605,0.217151261126951,0.051449909018947,1.71115864616199e-06,2
12248,171.398880876212,352.562307384457,0.03,0.03,223.919667011098,0.398008337306173,-2.76506086450524,-16.7828673942106,-16.3763986412808,-5.92823951949684,0.933396265768599,0.439739474571899,0.217109663962248,0.0515125733697869,1.73688987113163e-06,2
12250,171.406583836765,352.564135555457,0.03,0.03,223.919936462698,0.399792712211274,-2.78717139184392,-16.7817027938548,-16.3739911016832,-5.89776515510295,0.933291037154754,0.495487188660681,0.222003907029274,0.0561362836714109,4.57770402027352e-13,2
12252,171.951061980062,352.693058619035,0.03,0.03,223.938973125166,0.410240020632271,-2.84086838679842,-16.6993838679483,-16.2039889247962,-5.87302201083254,0.925755111393118,0.494971739926236,0.212600148589039,0.055960187285471,1.84395608750682e-12,2
12254,171.899804186674,352.681681296647,0.03,0.03,223.937193328585,0.410237678729525,-2.84086838679691,-16.707133465658,-16.2191271857058,-5.85407871761378,0.926168674327176,0.495064424526327,0.212924733059647,0.0559009531381307,2.45357468434713e-11,2
12256,171.893865139548,352.68010033717,0.03,0.03,223.936984243312,0.4102377009671,-2.84086838679582,-16.7080313822957,-16.2211855581294,-5.84037999247007,0.926237969925976,0.495029059543878,0.212973941925894,0.0559056163349164,1.98743520144786e-11,2
12258,171.894353850861,352.68022325586,0.03,0.03,223.93700137297,0.410238054770781,-2.84086838679501,-16.7079574946852,-16.2210244987857,-5.83017749025406,0.926226401082551,0.49502917931953,0.212988899048324,0.0559225075551726,1.04291467298877e-11,2
12260,171.896235035934,352.680688222593,0.03,0.03,223.937067218586,0.45072778067607,-2.62650929204842,-16.7076730808179,-16.2204140212264,-5.82218467673178,0.926198977262272,0.494597549616682,0.23666170364998,0.0986009459935317,1.82268636677506e-13,2
12262,176.959349763894,353.865461967575,0.03,0.03,224.114392659168,0.498536976308645,-2.60702210152226,-15.9659722156435,-14.6903412880539,-5.59055295849586,0.857245625519115,0.315231819120508,0.1846200010893,0.0982965392512569,1.51553201395208e-06,2
12264,177.146460363987,353.882251623826,0.03,0.03,224.120512258858,0.498555518409441,-2.60702210151344,-15.938636179526,-14.6646863587303,-5.42717396147642,0.855852899390517,0.320658308945974,0.18365347618126,0.0984666262547113,1.11080120342863e-06,2
12266,177.19598039,353.889467170633,0.03,0.03,224.122160342022,0.498563392709051,-2.60702210150739,-15.9314015214696,-14.6546859298166,-5.31477799249481,0.855371101638134,0.323492119934708,0.183495983077138,0.0986011428776567,9.91876734224483e-07,2
12268,177.218927501198,353.893656089208,0.03,0.03,224.122933088797,0.498568190011347,-2.60702210150312,-15.9280490494405,-14.6490740926562,-5.23532436895672,0.855110845774567,0.321072467074019,0.1834530342057,0.0986551399980794,1.86206521218131e-06,2
12270,177.232299534182,353.896295513004,0.03,0.03,224.123385776997,0.498535903607504,-2.57166546553331,-15.9260954542335,-14.6455743452457,-5.18131819650956,0.854949026441582,0.341753283386381,0.192587277675661,0.109702571781948,1.0573630047765e-06,2
12272,178.246166696345,354.161822741188,0.03,0.03,224.158248283451,0.497687912078418,-2.18274246988924,-15.777973922119,-14.3041132262636,-5.01709276779619,0.840081203739454,0.27915130619957,0.182753674012742,0.108148591152028,2.83115625780093e-06,2
12274,178.527808515811,354.213470780519,0.03,0.03,224.167635376629,0.497711333385179,-2.1827424698831,-15.7368272904505,-14.2346110291757,-4.90312900001445,0.837862309602316,0.289024492320764,0.18108301181382,0.108486220890554,2.2362905550723e-06,2
12276,178.582157244682,354.223780146901,0.03,0.03,224.169447580334,0.497718216827605,-2.1827424698789,-15.7288871801301,-14.2207924314,-4.82530919267935,0.837348449057357,0.290594573755038,0.180824204099319,0.108583165747476,2.34397056845541e-06,2
12278,178.598554174812,354.226920970663,0.03,0.03,224.169994509725,0.497721578005414,-2.18274246987592,-15.7264916607496,-14.2165875381438,-4.77016924805204,0.837160511292851,0.303831776683169,0.180768262375017,0.108648143528278,1.71127182121483e-06,2
12280,178.606124414719,354.228379669591,0.03,0.03,224.17024726106,0.467657731200454,-2.49595151099423,-15.7253856819993,-14.2146361294337,-4.7290348058419,0.837058336190389,0.128469422499215,0.132569891971563,0.0652179070018238,1.762550500565e-05,2
12282,173.333961559169,353.004929511482,0.03,0.03,223.9878155525,0.412890556515574,-2.62491993975934,-16.4956254841599,-15.7987056099987,-4.94798834344914,0.908659940373674,0.222834156170092,0.206768782191434,0.0643243053458006,0.000101064156177597,2
12284,172.969179034505,352.943293888744,0.03,0.03,223.97511984277,0.412864392197786,-2.62491993977224,-16.5489186072269,-15.8805636381688,-5.11256821437613,0.911869690975617,0.494542577073707,0.209925243597196,0.0639179536272378,3.84570232161114e-13,2
12286,172.867399931907,352.92366511516,0.03,0.03,223.971543668213,0.412854558901079,-2.62491993978182,-16.5637880865951,-15.9061932353243,-5.23438221016132,0.912865446706435,0.494763127847069,0.210315830125041,0.0636700954431126,3.14168101650486e-10,2
12288,172.831098401354,352.915974837944,0.03,0.03,223.970258822443,0.412849593565379,-2.6249199397887,-16.56909158057,-15.9161302676557,-5.32221871908961,0.913269145459399,0.49484839325913,0.210404705715476,0.0677603166649368,2.71486304203081e-10,2
12290,172.81092389295,352.980999461192,0.0268799187634436,0.0268799187634436,222.120645889143,0.380482299816907,-2.39162867845901,-16.5738813582985,-15.8410006480303,-5.38992684311546,0.913511832798415,0.494542645851905,0.175927607430881,0.0752237044645018,8.76363450362971e-07,2
12292,169.990384668209,352.850591560275,0.025595179430744,0.025595179430744,221.261372621793,0.321446199341429,-2.29556757101356,-16.9985077283526,-16.092218522706,-5.43370620478239,0.907166452067288,0.494640768956292,0.225540668170639,0.0772726930727838,3.43151920141462e-11,2
12294,170.220211712057,352.914235403953,0.025595179430744,0.025595179430744,221.270145796993,0.321458022886625,-2.29556757101812,-16.9637604832578,-16.0102696177853,-5.46957448065012,0.904333758991962,0.494412030674609,0.224260325775921,0.0778573453070979,2.92956021634988e-09,2
12296,170.290755027996,352.931220350108,0.025595179430744,0.025595179430744,221.272799010563,0.321460971200201,-2.29556757102171,-16.9530951330918,-15.9880637528763,-5.49769192121023,0.903600881714441,0.494296143199146,0.223832209533263,0.0779996789033289,3.22362057579509e-09,2
12298,170.309268247097,352.935498971169,0.025595179430744,0.025595179430744,221.273492493599,0.321461382372629,-2.2955675710246,-16.9502961440989,-15.9824427136715,-5.51996493649856,0.903421240569154,0.49494439590976,0.223690594928611,0.0795570761470906,2.96138066353845e-10,2
12300,170.310928010222,352.962384955226,0.0242125968141111,0.0242125968141111,218.740624198193,0.318054302310338,-2.24265768409479,-16.9507510911875,-15.9510180246997,-5.53756457826353,0.903416028347459,0.494930572160474,0.17375342366553,0.149040104610782,4.08653387464158e-10,2
12302,166.475956990766,353.820370938224,0.0208548961737172,0.0208548961737172,212.471800351649,0.298080216295908,-2.11416224446653,-17.5322695404842,-15.0773583538116,-5.48315334342706,0.809090877719208,0.494874375356317,0.199074273186724,0.148805037788177,1.12376938201776e-10,2
12304,166.490825862123,353.836646537725,0.0208548961737172,0.0208548961737172,212.472668411761,0.298088919920094,-2.11416224445957,-17.5300215364387,-15.0579945046673,-5.43725924420211,0.806220548152207,0.494521045042453,0.199557019180414,0.149069325802605,4.5578517044898e-09,2
12306,166.548019658242,353.846321434759,0.0208548961737172,0.0208548961737172,212.474898013735,0.29809250585695,-2.11416224445408,-17.5213744824274,-15.0450783104687,-5.40069646119619,0.805682781984798,0.494987139613127,0.19931752535262,0.149229121615912,1.03390834621707e-09,2
12308,166.571749560943,353.851311628075,0.0208548961737172,0.0208548961737172,212.475843379549,0.29809432013615,-2.11416224444962,-17.5177867899885,-15.0385827847258,-5.37123205918129,0.805440982121018,0.493605347589007,0.199233615491521,0.15019795731926,1.21209713060504e-12,2
12310,166.582889583278,353.86940854199,0.0199540172485852,0.0199540172485852,212.514869908336,0.29268169307985,-1.97112867690092,-17.516496091943,-15.0171318373148,-5.34729709759451,0.805324072223694,0.494715065926451,0.211510879765028,0.166261049525635,4.87582346755874e-11,2
12312,168.370492732459,354.329392519039,0.0188893421552474,0.0188893421552474,212.639882692357,0.274446254713593,-1.80208900624762,-17.2466958520482,-14.4280696978611,-5.26823236721929,0.784334583762077,0.495374269284654,0.198616796150075,0.166258249545495,1.4196233782396e-09,2
12314,168.650906353732,354.387967819988,0.0188893421552474,0.0188893421552474,212.652036046962,0.274460157193571,-1.80208900623583,-17.2043004893919,-14.3511277715147,-5.20239254291406,0.781769762770983,0.494987542900526,0.19725251478517,0.167034445640255,6.76950795087392e-08,2
12316,168.757723040659,354.411284627741,0.0188893421552474,0.0188893421552474,212.6566889702,0.274466053456251,-1.8020890062263,-17.1881510164863,-14.3206263981715,-5.14900035301028,0.780766775586087,0.494778338689315,0.196810940980913,0.167409634915664,6.36111519873755e-11,2
12318,168.805322408918,354.421774851251,0.0188893421552474,0.0188893421552474,212.65876457801,0.274469102146876,-1.80208900621842,-17.1809545312816,-14.3069143796179,-5.10471540960416,0.780303455565553,0.495706849892207,0.196582357940043,0.167767970459925,1.74725473310562e-12,2
12320,168.823698603897,354.429684171776,0.0186306239924087,0.0186306239924087,213.097761335361,0.270341356234488,-1.85347120156982,-17.1782778041431,-14.2971153669537,-5.06906297834361,0.780114444176556,0.494884822641052,0.199154285914012,0.134852364799758,3.56599466394252e-10,2
12322,169.037657449735,353.85912393194,0.0168195968525374,0.0168195968525374,216.155356130036,0.208446500171945,-2.21314656947535,-17.1466404712961,-14.9526928559621,-5.16862518334804,0.833523390703984,0.49487652666408,0.227114457890021,0.135254627508366,6.66039363948295e-12,2
12324,168.770589331277,353.786796207381,0.0168195968525374,0.0168195968525374,216.141471320657,0.208431968527865,-2.21314656950229,-17.1870181444833,-15.0454357507931,-5.25542058041604,0.838491078181034,0.494812772782972,0.227761724242151,0.133832639576061,2.93563961770196e-13,2
12326,168.587295309067,353.745640113883,0.0168195968525374,0.0168195968525374,216.132209882058,0.208424299125466,-2.21314656952532,-17.2147301239585,-15.0991863810542,-5.3300184590558,0.840458229011619,0.494321043895575,0.228779183110971,0.133092823252925,6.48666041909453e-09,2
12328,168.49719091295,353.724616759579,0.0168195968525374,0.0168195968525374,216.1276310191,0.208420165423377,-2.21314656954481,-17.2283528877855,-15.1265137658221,-5.39326940618426,0.841420120583741,0.49449382656797,0.229189232846589,0.131491782306453,3.63635360640589e-13,2
12330,168.447095697942,353.69226458731,0.0181626906073666,0.0181626906073666,220.504204535792,0.20596495771235,-2.1970824325727,-17.2353961251211,-15.1658237738129,-5.44848376680548,0.841964588970266,0.491440445554167,0.282217638228088,0.0665711038500764,6.08306301068062e-13,2
12332,170.88287364162,352.800842622301,0.0191220432893873,0.0191220432893873,223.712748799475,0.200012342073394,-2.18560804912508,-16.8667551107524,-16.1173107911122,-5.5381769275167,0.933616899652702,0.494802127897675,0.265770137177319,0.065399564536096,1.67997643181705e-10,2
12334,171.021406238762,352.798851918722,0.0191220432893873,0.0191220432893873,223.718484385414,0.200011063862108,-2.18560804915185,-16.8458105506193,-16.1145646035907,-5.61831500711034,0.935594382265096,0.494822653448454,0.263475778406342,0.0653841686009554,2.02773333199997e-10,2
12336,171.01334641821,352.797892150267,0.0191220432893873,0.0191220432893873,223.718123635571,0.200009733930938,-2.18560804917484,-16.8470291041641,-16.11597308368,-5.68722322314634,0.935714824040044,0.494848551326608,0.263424076334963,0.0652862963214122,1.57476089885641e-12,2
12338,171.00368639871,352.795235129145,0.0191220432893873,0.0191220432893873,223.717653106816,0.200008477908345,-2.18560804919487,-16.8484895896458,-16.1194088207166,-5.7472048117956,0.935876743595254,0.494902784246863,0.263362911447157,0.0627133220847574,2.31246179427024e-08,2
12340,170.993173618503,352.750084811896,0.0215303703297472,0.0215303703297472,221.857502924795,0.206064478760919,-2.28795279462364,-16.8489391387871,-16.1724431178667,-5.79865106154193,0.936029425505863,0.493300797595141,0.135840782115702,-0.00986610403567104,2.61544543252015e-11,2
12342,162.061890167908,350.480956127915,0.023938697370107,0.023938697370107,219.644091218899,0.224262472346591,-2.39029753984087,-18.2128250394279,-18.2258660886473,-5.94386584593989,1,0.704370319144929,0.276533277688076,0.0103067691391694,0.000209692224041237,2
12344,161.896850442235,350.834011192296,0.023938697370107,0.023938697370107,219.643597239959,0.22425206146325,-2.39029753987672,-18.2386481597704,-18.251689204222,-6.0783050125243,1,0.700975480561467,0.276997337517621,0.00633866198349155,0.000214588890717258,2
12346,161.817837576533,350.751563440027,0.023938697370107,0.023938697370107,219.639416424982,0.224246111759842,-2.39029753990656,-18.2510109928619,-18.2640520369417,-6.19041327326018,1,0.70975827108583,0.276978061402099,0.000506046938657124,0.000192867831313625,2
12348,161.761829814692,350.63583677755,0.023938697370107,0.023938697370107,219.635555730083,0.224242337008324,-2.39029753993156,-18.2597743073604,-18.2728153516801,-6.28441255686169,1,0.495635500611022,0.276630670080681,-0.00310581623193812,9.43500212515292e-08,2
12350,161.723999908104,350.565274720284,0.023016247430039,0.023016247430039,219.358628856819,0.221211057064272,-2.4656598431161,-18.2661570648398,-18.2782707881411,-6.36532832083446,1,0.492745015935456,0.295326845576049,0.0469093765995083,2.10542415021678e-06,2
12352,163.035281736025,351.629317566334,0.0202488976098352,0.0202488976098352,218.610228115396,0.200028873582031,-2.6917467528841,-18.0623769286008,-17.7438963712358,-6.45239632876913,0.964561614597341,0.494974240704202,0.26932741426609,0.0450760555136895,1.79451043989681e-11,2
12354,162.754136395235,351.555545854004,0.0202488976098352,0.0202488976098352,218.597459385167,0.200018301989641,-2.69174675290798,-18.1063666362342,-17.8401443340957,-6.52325582371827,0.967826817267109,0.494360767607661,0.271227077859166,0.0438284259570819,1.61248525837594e-08,2
12356,162.619377371939,351.51867828113,0.0202488976098352,0.0202488976098352,218.591300638316,0.200012625839505,-2.69174675292847,-18.1274518514432,-17.8880004817727,-6.58419110841725,0.969568504109057,0.49500424897415,0.272040880627256,0.0431914144376375,2.08167098314334e-11,2
12358,162.54906495468,351.499575251937,0.0202488976098352,0.0202488976098352,218.588088673071,0.200009365240713,-2.69174675294605,-18.1384533592728,-17.9128059998121,-6.63665793097165,0.970477544281597,0.495188248306392,0.272423885045361,0.0430047193432871,4.38285760287971e-11,2
12360,162.510129135107,351.492014738111,0.0200570201095686,0.0200570201095686,218.405786845916,0.20055685731877,-2.67214123274975,-18.1446238348111,-17.9230022644281,-6.68255967400972,0.970989404920069,0.625403948755075,0.388150060155893,0.170937173839287,1.48457115675918e-06,2
12362,170.147208144886,354.420710357925,0.0156438376034385,0.0156438376034385,214.708101594653,0.226321049399191,-2.22121426750431,-16.9793085130995,-14.2634110055158,-6.48395784603047,0.797042079385372,0.494868015708758,0.207231450170461,0.166067662395599,7.10986288386366e-11,2
12364,170.454061187746,354.45596133359,0.0156438376034385,0.0156438376034385,214.723394466629,0.226340818036646,-2.22121426745754,-16.9329158100264,-14.2119519218347,-6.30587244362651,0.79176922257709,0.494980345164075,0.206497436387072,0.167269013497488,7.85853746796639e-12,2
12366,170.662480072807,354.493835489513,0.0156438376034385,0.0156438376034385,214.734292868243,0.2263513916807,-2.22121426741806,-16.9014052359194,-14.1607669847127,-6.15519972403786,0.789670529501872,0.495064267058316,0.205498241889721,0.168047666014043,7.15945006992152e-13,2
12368,170.767021558186,354.515890216523,0.0156438376034385,0.0156438376034385,214.739871930347,0.226357487731094,-2.22121426738506,-16.8855997477641,-14.1315246986686,-6.02890803072678,0.788601235128116,0.49539122963886,0.205102066183597,0.168777918182028,3.33053827857529e-13,2
12370,170.826850061317,354.533247270384,0.01526615311247,0.01526615311247,215.765414453445,0.227221279870763,-2.22946553701153,-16.8766716977613,-14.109263764702,-5.92002403089958,0.787971145109969,0.3871495619836,0.455813959036531,0.214326502099616,1.17015122435055e-05,2
12372,186.022840878084,356.365321396091,0.0126223616756901,0.0126223616756901,223.88652177099,0.240104294367706,-2.28722442444174,-14.6786023468597,-11.5192570648364,-5.70864743900595,0.724952793653401,0.495227130763076,0.182885148535725,0.203561390002765,1.84742873483776e-09,2
12374,186.64398777558,356.269783790889,0.0126223616756901,0.0126223616756901,223.915512190814,0.240107477312943,-2.28722442439902,-14.590908692882,-11.6082597764214,-5.52413024523629,0.732367322324471,0.494474860326602,0.176359033434137,0.202621546990237,7.79569814669975e-13,2
12376,186.690455044755,356.261306642682,0.0126223616756901,0.0126223616756901,223.917601632173,0.240110918400998,-2.28722442436336,-14.5843484337842,-11.6164225161802,-5.37023797727575,0.732656712765087,0.495356432719219,0.176094781531767,0.2026330941929,2.02317965389911e-11,2
12378,186.711032252095,356.262983620664,0.0126223616756901,0.0126223616756901,223.918845911716,0.240114160145772,-2.28722442433332,-14.5814433392645,-11.6137962897116,-5.24063685647921,0.732451432373883,0.494841608084831,0.176142117625783,0.202635710024231,2.74760656840535e-10,2
12380,186.732056661678,356.264527649489,0.0128039884910465,0.0128039884910465,222.830400469205,0.246073474443371,-2.33021893216599,-14.5784260160793,-11.6113189357449,-5.13248439549991,0.732217739078703,0.49466066758452,0.129545956403509,0.228115174872918,5.83371277743038e-11,2
12382,183.21839344791,356.384691413668,0.0137121225678284,0.0137121225678284,217.213588273324,0.31160584829213,-2.54519147119503,-15.0742402679403,-11.5847342681131,-5.01154017464144,0.688071343799897,0.494692560718914,0.1453700058867,0.23157132630966,7.04574530657777e-08,2
12384,182.614201351387,356.327925141782,0.0137121225678284,0.0137121225678284,217.180796131622,0.311599159233,-2.54519147118184,-15.1595402389186,-11.6676937277096,-4.91507690451295,0.686270987701444,0.495138433767658,0.149586324282832,0.231013301732556,1.26121683971523e-12,2
12386,182.53582896003,356.313118945865,0.0137121225678284,0.0137121225678284,217.17617272187,0.311598653610004,-2.5451914711713,-15.1706048700377,-11.6869957515412,-4.83841249877186,0.686501500364672,0.494643704235918,0.150130781503187,0.230915994024715,7.9296965243889e-08,2
12388,182.526096182955,356.310536164168,0.0137121225678284,0.0137121225678284,217.175562230518,0.311599841191611,-2.54519147116302,-15.1719789456156,-11.6902493063134,-4.77835245389275,0.686525814302275,0.49499687293946,0.150251895964588,0.231122640872372,6.69693831081585e-10,2
12390,182.530326858498,356.31403504359,0.0133819320175223,0.0133819320175223,218.499389625097,0.305936836937074,-2.4571171020831,-15.1714692282377,-11.6860804152184,-4.72915209849435,0.686465343468758,0.495222134729682,0.207642207261846,0.226544165117956,6.30704008105311e-10,2
12392,188.435796184072,356.652571495623,0.0121272079263592,0.0121272079263592,223.891236777966,0.257192556016582,-2.12243449975474,-14.3387219737333,-11.1072343077164,-4.63805489928143,0.699761751301405,0.493840017056512,0.170492713263946,0.220185347889695,3.2801250433412e-11,2
12394,189.371099024814,356.729011074771,0.0121272079263592,0.0121272079263592,223.94848061031,0.257209900080527,-2.12243449973923,-14.2111129063667,-10.9948333829197,-4.56181522678232,0.700731105990721,0.49515107474914,0.163421321156342,0.221331879481935,2.41666666417678e-11,2
12396,189.58791428959,356.761825855256,0.0121272079263592,0.0121272079263592,223.962722935827,0.257217552060313,-2.12243449972651,-14.1815314784252,-10.951329508871,-4.49895559133466,0.699640491068029,0.494963568297808,0.162208155128839,0.221930956030507,4.01830747835714e-10,2
12398,189.672831597762,356.776268906632,0.0121272079263592,0.0121272079263592,223.968404001427,0.257221500513616,-2.12243449971588,-14.1699456925775,-10.9324542708293,-4.4464265607941,0.699030817540677,0.495449279586292,0.161778824470329,0.220147007650517,3.89282545110765e-12,2
12400,189.709142435248,356.754406540505,0.0150249605202093,0.0150249605202093,221.516785317974,0.275899503367337,-1.84936357216721,-14.1641833940127,-10.956700391853,-4.40293805027717,0.698744636961194,0.494209882434226,0.118298562831777,0.201331545658758,3.00178557152551e-11,2
12402,183.708919700288,356.150241685411,0.0159908780514927,0.0159908780514927,220.415172821709,0.306999866597408,-1.75833992948415,-15.0042929528732,-11.8401305378374,-4.32637619010605,0.720367069964667,0.493430410746892,0.167355503560807,0.206220320601842,3.75208054155358e-12,2
12404,183.902056746471,356.240215624941,0.0159908780514927,0.0159908780514927,220.427043876151,0.307016275685778,-1.75833992947588,-14.977025823774,-11.7307171068118,-4.26849218811721,0.716102154789128,0.493984974670061,0.166956723526578,0.207312853742779,2.89797906753261e-08,2
12406,184.019417100858,356.265157324947,0.0159908780514927,0.0159908780514927,220.43313485612,0.307022598014752,-1.75833992946934,-14.9604568637562,-11.6984343699405,-4.22221778727326,0.715124347782021,0.494402864414012,0.166447704449901,0.207635288307977,1.63386147026738e-09,2
12408,184.064374392943,356.273640293621,0.0159908780514927,0.0159908780514927,220.435427780774,0.307025452795526,-1.75833992946408,-14.9541097836132,-11.6872972274801,-4.18529285067118,0.714760388015656,0.494924953925693,0.166272480621192,0.204606085214676,9.55374197978684e-11,2
12410,184.082921603899,356.229297149977,0.0195717148737794,0.0195717148737794,219.793799762833,0.284533943572939,-2.09660490860699,-14.9501496114979,-11.7380473951443,-4.15535287745529,0.714599233686466,0.49350601753906,0.0780834929689134,0.104943588058771,5.93241539883579e-11,2
12412,170.425109750257,353.464616788258,0.0205140403533285,0.0205140403533285,219.059628203017,0.250270029066907,-2.18562200857616,-16.9353573832333,-15.3637371873319,-4.40444655941294,0.867384273062664,0.49459722932238,0.226372073504272,0.107111012915456,3.85444863562497e-11,2
12414,169.955194116579,353.413965934468,0.0205140403533285,0.0205140403533285,219.040647944806,0.250248601213326,-2.18562200862253,-17.0064033034953,-15.4389306364687,-4.62132416281092,0.871103396288466,0.494625822207508,0.229086612295888,0.105906484258507,2.16965806926121e-11,2
12416,169.765404603894,353.375155242275,0.0205140403533285,0.0205140403533285,219.032564965048,0.250237440833004,-2.18562200866086,-17.0350973275454,-15.4905203678664,-4.80070734633118,0.873183897415185,0.494538610910406,0.22987175288306,0.105144706296136,1.83071908655535e-12,2
12418,169.66617462411,353.352606877389,0.0205140403533285,0.0205140403533285,219.028286598801,0.250230552866363,-2.18562200869299,-17.0500997762168,-15.5200968124091,-4.95142293127134,0.874318491155671,0.494953774318555,0.230238826324591,0.102653024594503,2.47183564448267e-10,2
12420,169.611587438137,353.304389715807,0.0223757704819658,0.0223757704819658,215.310391319179,0.239765753193574,-2.32481719668681,-17.057421743254,-15.5781503282885,-5.0763859672123,0.874967478381343,0.495065541718071,-0.0331815263333204,-0.211175063468238,3.24887954060852e-11,2
12422,147.407544600206,344.472853600839,0.0249821926620579,0.0249821926620579,209.288650194331,0.200074989727339,-2.51969046026539,-20.5811407708523,-20.5963540444928,-5.43001108633698,1,0.49503519713028,0.293428711466027,-0.209087545475633,8.46467001087489e-09,2
12424,147.025373786649,344.503985533499,0.0249821926620579,0.0249821926620579,209.276215378616,0.200056947650324,-2.51969046037686,-20.6451932883121,-20.6604065563172,-5.76335786994376,1,0.495699149630121,0.295915756600066,-0.22268545429834,1.62738701924754e-07,2
12426,146.85783011743,344.191088946553,0.0249821926620579,0.0249821926620579,209.266436296909,0.200045254475108,-2.51969046047213,-20.6732739080594,-20.6884871762308,-6.04844127700943,1,0.496200965144945,0.296141038227414,-0.234978391338049,2.60651801306782e-07,0
12428,146.739485623208,343.912344706152,0.0249821926620579,0.0249821926620579,209.258766368115,0.200037155715262,-2.51969046055344,-20.6931086574621,-20.7083219263299,-6.2918424732992,1,0.495597848564997,0.296257431006385,-0.245877934077539,7.14077694470695e-08,2
12430,146.655248486441,343.667247279902,0.0263822360314952,0.0263822360314952,212.936161320871,0.20003097317985,-2.31061615288138,-20.7063224938337,-20.7233446807429,-6.50429739406863,1,0.498681524591944,0.391390033270064,-0.590894211771777,2.62834417510861e-05,0
12432,152.150390556682,337.09420668815,0.0280368327408303,0.0280368327408303,217.412871947426,0.199988894699915,-2.0635283346766,-19.7915405249057,-19.810052630251,-6.61147796668453,1,0.494086098462378,0.316327825574356,-0.666560900520576,9.94979863703018e-08,2
12434,152.131754573969,335.227101454506,0.0280368327408303,0.0280368327408303,217.391888582231,0.200000718413859,-2.06352833470498,-19.7945583289701,-19.8130704516302,-6.69761272620327,1,0.494019038377707,0.31767947386052,-0.672403137650525,1.3580846968798e-08,2
12436,152.198426820284,335.109941692709,0.0280368327408303,0.0280368327408303,217.392921819048,0.200005553406851,-2.06352833473016,-19.7837617760589,-19.8022739008971,-6.7745999681723,1,0.493382692922527,0.317589677822414,-0.668869251116656,2.47990960076101e-07,0
12438,152.244442246166,335.197368114217,0.0280368327408303,0.0280368327408303,217.395467305333,0.20000702513101,-2.06352833475196,-19.7763102808274,-19.7948224055258,-6.84128267780183,1,0.491927210282241,0.317292678007583,-0.66810975914758,1.04114096955437e-06,0
12440,152.264525711798,335.218398139885,0.0295092081852076,0.0295092081852076,221.65983747835,0.204948279169137,-1.78680387257752,-19.7720520678702,-19.7925761975447,-6.90070215557392,1,0.496055084340647,0.407362746577905,-0.71897703803933,2.05060549929498e-07,2
12442,158.153945236968,334.962532732756,0.03,0.03,223.288966147323,0.213147949198181,-1.69456238496238,-18.8205668629057,-18.8410458680286,-6.86504914504383,1,0.495345756484441,0.318341643483484,-0.73101504866567,3.33814330619807e-06,2
