,Time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
mean,8003,154.8591225,338.2701323,0.021466804,0.021466804,215.2173422,0.353324272,-7.519261082,-19.47265064,-18.90059113,-10.05522025,0.94039062,0.524967842,0.225518976,-0.910242855,2.494174589,1.284107946
std,4621.400221,17.2871409,16.12299507,0.006319228,0.006319228,8.21135113,0.099771383,2.977182342,2.746452851,3.601859471,2.891288427,0.108570091,0.128548886,0.07954417,1.232594334,34.09403955,0.993540208
max,16006,223.6926076,360.3715886,0.03,0.03,237.5613659,0.500053312,-4.78E-11,-9.76799211,-5.837667631,-0.880935482,1,0.99,0.732756496,0.404301597,785.0190548,2
min,0,110.828064,262.264758,0.01,0.01,200.8684979,0.175,-13,-27.41134523,-27.43509014,-16.6868295,0.492143294,1.49E-05,-0.255933173,-4.999999462,1.75E-15,-2
