,time,pressure,h_ref_out,m_ref_in,m_ref_out,h_ref_in,m_cool,T_cool_in,T_ref_in,T_ref_out,T_cool_out,z_tpsh,gamma,eps_tp,eps_sh,fval,ef
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
max,10000,200,350,0.03,0.03,220,0.5,0,-9.76799211,-5.837667631,-0.880935482,1.0,,,,,
min,0,100,250,0.01,0.01,200,0.2,-13,-27.41134523,-27.43509014,-16.6868295,0.492143294,,,,,			
